time,temperature_2m,shortwave_radiation,cloudcover
2025-01-01 00:00:00+00:00,6.0,0.0,0
2025-01-01 01:00:00+00:00,7.5,0.0,0
2025-01-01 02:00:00+00:00,7.4,0.0,0
2025-01-01 03:00:00+00:00,7.3,0.0,0
2025-01-01 04:00:00+00:00,7.0,0.0,0
2025-01-01 05:00:00+00:00,6.5,0.0,0
2025-01-01 06:00:00+00:00,6.5,2.0,1
2025-01-01 07:00:00+00:00,8.2,76.0,0
2025-01-01 08:00:00+00:00,10.8,214.0,0
2025-01-01 09:00:00+00:00,12.5,349.0,10
2025-01-01 10:00:00+00:00,13.4,443.0,11
2025-01-01 11:00:00+00:00,13.9,481.0,8
2025-01-01 12:00:00+00:00,14.3,452.0,5
2025-01-01 13:00:00+00:00,14.6,354.0,6
2025-01-01 14:00:00+00:00,14.0,225.0,12
2025-01-01 15:00:00+00:00,12.4,78.0,19
2025-01-01 16:00:00+00:00,11.4,1.0,10
2025-01-01 17:00:00+00:00,10.7,0.0,2
2025-01-01 18:00:00+00:00,9.7,0.0,2
2025-01-01 19:00:00+00:00,9.5,0.0,8
2025-01-01 20:00:00+00:00,8.6,0.0,9
2025-01-01 21:00:00+00:00,7.9,0.0,59
2025-01-01 22:00:00+00:00,7.4,0.0,73
2025-01-01 23:00:00+00:00,7.7,0.0,39
2025-01-02 00:00:00+00:00,7.9,0.0,57
2025-01-02 01:00:00+00:00,7.3,0.0,60
2025-01-02 02:00:00+00:00,7.2,0.0,100
2025-01-02 03:00:00+00:00,7.1,0.0,100
2025-01-02 04:00:00+00:00,6.7,0.0,99
2025-01-02 05:00:00+00:00,6.5,0.0,99
2025-01-02 06:00:00+00:00,6.4,2.0,100
2025-01-02 07:00:00+00:00,8.2,65.0,96
2025-01-02 08:00:00+00:00,9.9,177.0,87
2025-01-02 09:00:00+00:00,11.0,312.0,59
2025-01-02 10:00:00+00:00,11.8,408.0,56
2025-01-02 11:00:00+00:00,12.3,464.0,2
2025-01-02 12:00:00+00:00,12.7,440.0,3
2025-01-02 13:00:00+00:00,13.5,360.0,0
