time,temperature_2m,shortwave_radiation,cloudcover
2023-01-01 00:00:00+00:00,6.2,0.0,0
2023-01-01 01:00:00+00:00,6.5,0.0,0
2023-01-01 02:00:00+00:00,6.1,0.0,0
2023-01-01 03:00:00+00:00,6.3,0.0,2
2023-01-01 04:00:00+00:00,6.1,0.0,3
2023-01-01 05:00:00+00:00,5.8,0.0,1
2023-01-01 06:00:00+00:00,5.9,2.0,2
2023-01-01 07:00:00+00:00,8.8,76.0,3
2023-01-01 08:00:00+00:00,11.8,210.0,2
2023-01-01 09:00:00+00:00,13.6,342.0,3
2023-01-01 10:00:00+00:00,14.8,436.0,3
2023-01-01 11:00:00+00:00,15.7,471.0,6
2023-01-01 12:00:00+00:00,16.5,425.0,35
2023-01-01 13:00:00+00:00,16.4,288.0,56
2023-01-01 14:00:00+00:00,16.0,182.0,79
2023-01-01 15:00:00+00:00,14.3,64.0,6
2023-01-01 16:00:00+00:00,12.1,1.0,1
2023-01-01 17:00:00+00:00,10.3,0.0,0
2023-01-01 18:00:00+00:00,8.7,0.0,0
2023-01-01 19:00:00+00:00,7.5,0.0,24
2023-01-01 20:00:00+00:00,6.6,0.0,61
2023-01-01 21:00:00+00:00,6.6,0.0,75
2023-01-01 22:00:00+00:00,7.0,0.0,92
2023-01-01 23:00:00+00:00,7.0,0.0,100
2023-01-02 00:00:00+00:00,6.7,0.0,100
2023-01-02 01:00:00+00:00,6.6,0.0,99
2023-01-02 02:00:00+00:00,6.8,0.0,98
2023-01-02 03:00:00+00:00,6.5,0.0,100
2023-01-02 04:00:00+00:00,6.6,0.0,100
2023-01-02 05:00:00+00:00,6.7,0.0,100
2023-01-02 06:00:00+00:00,6.8,2.0,100
2023-01-02 07:00:00+00:00,8.0,59.0,100
2023-01-02 08:00:00+00:00,9.7,179.0,62
2023-01-02 09:00:00+00:00,11.7,334.0,8
2023-01-02 10:00:00+00:00,13.2,456.0,4
2023-01-02 11:00:00+00:00,14.4,491.0,23
2023-01-02 12:00:00+00:00,16.0,456.0,12
2023-01-02 13:00:00+00:00,16.2,364.0,7
2023-01-02 14:00:00+00:00,15.3,234.0,7
2023-01-02 15:00:00+00:00,13.0,83.0,1
2023-01-02 16:00:00+00:00,13.6,2.0,0
2023-01-02 17:00:00+00:00,12.8,0.0,0
2023-01-02 18:00:00+00:00,9.3,0.0,0
2023-01-02 19:00:00+00:00,8.7,0.0,0
2023-01-02 20:00:00+00:00,8.2,0.0,0
2023-01-02 21:00:00+00:00,8.0,0.0,0
2023-01-02 22:00:00+00:00,9.3,0.0,0
2023-01-02 23:00:00+00:00,11.1,0.0,0
2023-01-03 00:00:00+00:00,6.2,0.0,0
2023-01-03 01:00:00+00:00,5.9,0.0,0
2023-01-03 02:00:00+00:00,5.9,0.0,0
2023-01-03 03:00:00+00:00,6.2,0.0,0
2023-01-03 04:00:00+00:00,6.8,0.0,0
2023-01-03 05:00:00+00:00,7.4,0.0,0
2023-01-03 06:00:00+00:00,8.3,2.0,0
2023-01-03 07:00:00+00:00,9.2,89.0,0
2023-01-03 08:00:00+00:00,11.0,244.0,0
2023-01-03 09:00:00+00:00,11.7,382.0,0
2023-01-03 10:00:00+00:00,12.3,468.0,0
